state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2023,1,Anantapur,2228505,177793392
Andhra Pradesh,2023,1,Kurnool,2114023,149581663
Andhra Pradesh,2023,1,Guntur,2900895,103514892
Andhra Pradesh,2023,1,Krishna,2941585,98727644
Andhra Pradesh,2023,1,Spsr Nellore,1740294,111993275
Andhra Pradesh,2023,1,Vizianagaram,1094782,55519223
Andhra Pradesh,2023,1,Ysr,1628595,109842928
Andhra Pradesh,2023,1,West Godavari,1980446,102965151
Andhra Pradesh,2023,1,Chittoor,2755784,164669558
Andhra Pradesh,2023,2,East Godavari,3082893,101375784
Andhra Pradesh,2023,2,Srikakulam,1317771,48040159
Andhra Pradesh,2023,2,Visakhapatnam,3877504,115516314
Andhra Pradesh,2023,2,Prakasam,1792637,104288559
Andhra Pradesh,2023,2,Anantapur,2323796,164437247
Andhra Pradesh,2023,2,Kurnool,2202517,142843895
Andhra Pradesh,2023,2,Guntur,3014655,97915941
Andhra Pradesh,2023,2,Krishna,3054956,99723659
Andhra Pradesh,2023,2,Spsr Nellore,1811781,113350865
Andhra Pradesh,2023,2,Vizianagaram,1141578,55405616
Andhra Pradesh,2023,2,Ysr,1694843,98586928
Andhra Pradesh,2023,2,West Godavari,2059880,116005083
Andhra Pradesh,2023,2,Chittoor,2865250,170462384
Andhra Pradesh,2023,3,East Godavari,3211557,83823834
Andhra Pradesh,2023,3,Srikakulam,1375950,44064462
Andhra Pradesh,2023,3,Visakhapatnam,4035323,116087299
Andhra Pradesh,2023,3,Prakasam,1868997,94303883
Andhra Pradesh,2023,3,Anantapur,2421293,152875757
Andhra Pradesh,2023,3,Kurnool,2295754,124493256
Andhra Pradesh,2023,3,Guntur,3137289,71855007
Andhra Pradesh,2023,3,Krishna,3177643,73280755
Andhra Pradesh,2023,3,Spsr Nellore,1887005,73583227
Andhra Pradesh,2023,3,Vizianagaram,1190571,41978556
Andhra Pradesh,2023,3,Ysr,1764648,78787151
Andhra Pradesh,2023,3,West Godavari,2146530,73274852
Andhra Pradesh,2023,3,Chittoor,2981337,129032458
Andhra Pradesh,2023,4,East Godavari,3329036,143550882
Andhra Pradesh,2023,4,Srikakulam,1430226,48122562
Andhra Pradesh,2023,4,Visakhapatnam,4180797,163404880
Andhra Pradesh,2023,4,Prakasam,1939979,69411660
Andhra Pradesh,2023,4,Anantapur,2512744,123617506
Andhra Pradesh,2023,4,Kurnool,2383042,86461750
Andhra Pradesh,2023,4,Guntur,3251121,132403935
Andhra Pradesh,2023,4,Krishna,3291814,121925706
Andhra Pradesh,2023,4,Spsr Nellore,1956706,78993397
Andhra Pradesh,2023,4,Vizianagaram,1236735,42889385
Andhra Pradesh,2023,4,Ysr,1829864,69721701
Andhra Pradesh,2023,4,West Godavari,2227243,86297777
Andhra Pradesh,2023,4,Chittoor,3089391,143201818
Andhra Pradesh,2024,1,East Godavari,3465605,70700482
Andhra Pradesh,2024,1,Srikakulam,1492803,25384857
Andhra Pradesh,2024,1,Visakhapatnam,4349723,183432261
Andhra Pradesh,2024,1,Prakasam,2022873,57134465
Andhra Pradesh,2024,1,Anantapur,2619335,121235223
Andhra Pradesh,2024,1,Kurnool,2484451,115346032
Andhra Pradesh,2024,1,Guntur,3382454,82606973
Andhra Pradesh,2024,1,Krishna,3423998,59203320
Andhra Pradesh,2024,1,Spsr Nellore,2037823,73245409
Andhra Pradesh,2024,1,Vizianagaram,1289838,45744793
Andhra Pradesh,2024,1,Ysr,1905157,75306755
Andhra Pradesh,2024,1,West Godavari,2319971,59978637
Andhra Pradesh,2024,1,Chittoor,3214678,110865896
Andhra Pradesh,2024,2,East Godavari,3597667,70529565
Andhra Pradesh,2024,2,Srikakulam,1551988,27503934
Andhra Pradesh,2024,2,Visakhapatnam,4515738,221069497
Andhra Pradesh,2024,2,Prakasam,2099814,61269760
Andhra Pradesh,2024,2,Anantapur,2720387,120912449
Andhra Pradesh,2024,2,Kurnool,2580812,93496809
Andhra Pradesh,2024,2,Guntur,3508719,56640987
Andhra Pradesh,2024,2,Krishna,3552494,52309743
Andhra Pradesh,2024,2,Spsr Nellore,2114324,69447820
Andhra Pradesh,2024,2,Vizianagaram,1340999,48299033
Andhra Pradesh,2024,2,Ysr,1976516,59839679
